case_id,stain,slice_idx,patch_idx,patch_attn_weight,slice_attn_weight,stain_attn_weight,effective_weight,true_label,pred_label
7,melan,0,19,0.004535209387540817,1.0,0.9866355061531067,0.004474598609586655,1,1
7,melan,0,3,0.0049746073782444,1.0,0.9866355061531067,0.004908124268547143,1,1
7,melan,0,70,0.005791837349534035,1.0,0.9866355061531067,0.00571443237491398,1,1
7,melan,0,30,0.006060843821614981,1.0,0.9866355061531067,0.005979843711654026,1,1
7,melan,0,68,0.006136174313724041,1.0,0.9866355061531067,0.006054167449864811,1,1
7,melan,0,29,0.007351025473326445,1.0,0.9866355061531067,0.007252782738619817,1,1
7,melan,0,58,0.009917836636304855,1.0,0.9866355061531067,0.009785289769604466,1,1
7,melan,0,51,0.012653745710849762,1.0,0.9866355061531067,0.012484634804156958,1,1
7,melan,0,72,0.013332188129425049,1.0,0.9866355061531067,0.013154010183203724,1,1
7,melan,0,57,0.014216721057891846,1.0,0.9866355061531067,0.014026721776790652,1,1
7,melan,0,62,0.018489206209778786,1.0,0.9866355061531067,0.018242107327154256,1,1
7,melan,0,14,0.02571437507867813,1.0,0.9866355061531067,0.02537071547116243,1,1
7,melan,0,55,0.027296969667077065,1.0,0.9866355061531067,0.02693215948392258,1,1
7,melan,0,61,0.028233647346496582,1.0,0.9866355061531067,0.027856318940258973,1,1
7,melan,0,32,0.02911648526787758,1.0,0.9866355061531067,0.02872735817967187,1,1
7,melan,0,24,0.03331698477268219,1.0,0.9866355061531067,0.03287172013469064,1,1
7,melan,0,67,0.035212092101573944,1.0,0.9866355061531067,0.03474150031334622,1,1
7,melan,0,60,0.03546936437487602,1.0,0.9866355061531067,0.034995334272934775,1,1
7,melan,0,59,0.04467012360692024,1.0,0.9866355061531067,0.04407313001483559,1,1
7,melan,0,64,0.047191321849823,1.0,0.9866355061531067,0.04656063371933428,1,1
7,melan,0,63,0.05690823867917061,1.0,0.9866355061531067,0.0561476888735053,1,1
7,melan,0,22,0.07781460881233215,1.0,0.9866355061531067,0.07677465595166133,1,1
